project_id,project_name,employee_id,start_date,end_date,status,complexity_level,billable_hours,client_satisfaction,on_time_delivery,budget_adherence
P9126,engage bricks-and-clicks technologies,1004,2024-05-27,2024-09-29,Delayed,High,63,4.2,False,1.01
P4958,drive innovative networks,1811,2024-01-13,2024-05-17,In Progress,High,182,4.5,True,1.08
P8121,empower seamless ROI,1668,2024-03-28,,Completed,Medium,194,4.7,False,0.94
P9934,deploy end-to-end web services,1275,2024-04-22,,Delayed,Low,179,4.2,True,1.01
P1292,transform global solutions,1410,2024-10-14,2024-11-28,Completed,Medium,140,4.4,False,0.87
P9902,incentivize leading-edge e-markets,1951,2024-08-24,2024-10-08,Delayed,Medium,75,4.0,True,0.88
P8306,incentivize 24/365 relationships,1210,2024-05-10,,Delayed,Low,68,3.8,False,1.13
P2041,aggregate out-of-the-box e-business,1338,2024-12-06,2024-12-25,Delayed,Medium,74,4.1,True,0.86
P1334,harness vertical networks,1822,2024-07-02,,Completed,Low,177,4.0,False,1.16
P8603,deliver viral initiatives,1842,2024-06-02,2024-08-01,Completed,Low,139,3.7,False,0.89
P7910,redefine clicks-and-mortar deliverables,1920,2024-08-18,2024-11-04,Completed,Low,50,3.8,False,1.13
P4411,synthesize world-class functionalities,1393,2024-07-09,2024-10-25,Completed,High,192,4.4,True,1.08
P5701,visualize B2B info-mediaries,1948,2024-07-01,2024-10-06,Delayed,Medium,97,4.9,False,0.93
P6700,target cutting-edge action-items,1091,2024-03-14,,Completed,High,116,3.8,False,0.85
P6327,benchmark collaborative bandwidth,1673,2024-01-19,,In Progress,High,99,4.0,False,0.9
P2884,visualize interactive e-commerce,1624,2024-03-26,2024-11-06,Delayed,High,194,3.9,False,0.87
P5553,deploy proactive networks,1270,2024-11-24,2024-12-12,Completed,High,86,4.2,True,1.14
P4744,maximize rich mindshare,1462,2024-07-12,2024-11-16,Delayed,High,155,3.5,False,0.82
P9874,harness open-source synergies,1691,2024-11-10,,Completed,Medium,72,3.7,True,1.18
P8119,innovate distributed niches,1092,2024-11-03,2024-11-08,In Progress,Low,54,4.4,False,0.91
P8039,grow global metrics,1760,2024-05-21,2024-06-08,Completed,High,154,4.6,False,1.12
P6454,leverage proactive methodologies,1992,2024-06-04,,Completed,High,119,5.0,True,0.8
P7095,re-contextualize visionary e-business,1190,2024-02-01,2024-02-07,In Progress,Medium,146,4.2,False,1.14
P7468,scale B2B interfaces,1867,2024-03-30,2024-06-08,In Progress,High,167,4.6,False,0.99
P1961,orchestrate customized deliverables,1309,2024-05-18,,In Progress,Low,160,4.4,True,0.9
P5865,envisioneer integrated action-items,1056,2024-03-02,2024-07-14,In Progress,High,97,4.6,True,1.15
P7147,facilitate seamless web services,1858,2024-01-07,,In Progress,Low,168,4.8,True,0.93
P5855,seize cutting-edge models,1795,2024-01-31,2024-11-12,Completed,High,50,4.6,True,1.05
P4316,target visionary vortals,1853,2024-02-17,2024-03-14,Completed,High,146,4.8,False,0.84
P7522,benchmark visionary communities,1863,2024-03-19,,Completed,Medium,63,4.8,False,0.82
P2940,exploit turn-key schemas,1591,2024-04-17,,Completed,Medium,196,4.5,False,1.04
P5670,matrix ubiquitous web services,1691,2024-02-05,2024-11-09,In Progress,Medium,58,4.4,True,1.02
P2134,repurpose seamless synergies,1278,2024-01-14,2024-07-28,Completed,Low,180,4.3,False,1.02
P8410,unleash turn-key solutions,1319,2024-07-11,2024-09-12,Delayed,High,180,3.7,True,0.98
P9700,exploit clicks-and-mortar relationships,1637,2024-09-25,2024-11-17,Delayed,Medium,187,5.0,False,1.19
P4839,facilitate compelling eyeballs,1943,2024-03-17,2024-08-16,Completed,Low,195,3.6,False,0.9
P6815,architect out-of-the-box paradigms,1834,2024-06-18,2024-09-27,Completed,Low,99,4.7,True,0.95
P2439,target proactive convergence,1879,2024-10-25,,Completed,Medium,147,4.6,True,0.91
P9760,exploit dynamic paradigms,1549,2024-02-01,,Completed,Medium,153,4.4,True,1.06
P6342,expedite next-generation systems,1461,2024-06-07,,Completed,High,121,3.8,True,1.06
P7689,revolutionize end-to-end users,1383,2024-03-11,2024-04-05,Delayed,Low,170,3.6,True,0.85
P2027,synergize interactive schemas,1670,2024-02-11,2024-06-13,In Progress,Low,181,4.6,False,1.12
P5518,generate proactive ROI,1823,2024-06-23,,In Progress,High,62,4.6,False,1.04
